Who is caring for the children under 18,N,Percent,Percent of Cases
Who is caring for your children under 18? Select all that apply. - Selected Choice Child's other parent or step parent,24,25.50%,38.70%
Who is caring for your children under 18? Select all that apply. - Selected Choice Child's grandparent,25,26.60%,40.30%
Who is caring for your children under 18? Select all that apply. - Selected Choice Other relatives,12,12.80%,19.40%
Who is caring for your children under 18? Select all that apply. - Selected Choice My current partner,7,7.40%,11.30%
Who is caring for your children under 18? Select all that apply. - Selected Choice Friends,1,1.10%,1.60%
Who is caring for your children under 18? Select all that apply. - Selected Choice Foster parent/foster home,8,8.50%,12.90%
Who is caring for your children under 18? Select all that apply. - Selected Choice Other (specify),9,9.60%,14.50%
Are any of your children under age 18 currently engaged with the Department of Children and Family Services (DCFS)?,8,8.50%,12.90%
