Sentence Years,Frequency,Percent,Valid Percent,Cumulative Percent
less than 1 year,16,12.7,13.1,13.1
1 - 4 years,35,27.8,28.7,41.8
5 -9 years,31,24.6,25.4,67.2
10-14 years,20,15.9,16.4,83.6
15-19 years,5,4,4.1,87.7
20-24 years,6,4.8,4.9,92.6
"25 years or more, including Life Sentence",9,7.1,7.4,100
