Sentence Years,Frequency,Percent,Valid Percent,Cumulative Percent
less than 1 year,6,5.2,5.2,5.2
1 - 4 years,45,38.8,38.8,44
5 -9 years,36,31,31,75
10-14 years,12,10.3,10.3,85.3
15-19 years,5,4.3,4.3,89.7
20-24 years,7,6,6,95.7
"25 years or more, including Life Sentence",5,4.3,4.3,100
