Sentence Years,Frequency,Percent,Valid Percent,Cumulative Percent
less than 1 year,7,11.5,11.5,11.5
1 - 4 years,26,42.6,42.6,54.1
5 -9 years,10,16.4,16.4,70.5
10-14 years,3,4.9,4.9,75.4
15-19 years,2,3.3,3.3,78.7
20-24 years,2,3.3,3.3,82
"25 years or more, including Life Sentence",11,18,18,100
