Difficult staying contact with children,N,Percent,Percent of Cases
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The prison is too far away,1,14.30%,25.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I do not want my children to see me in prison,2,28.60%,50.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice They don't have transportation to visit,1,14.30%,25.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The video system/GTL is too complicated,1,14.30%,25.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Something else (specify),1,14.30%,25.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice None of these apply to me,1,14.30%,25.00%
