Sentence Years,Frequency,Percent,Valid Percent,Cumulative Percent
less than 1 year,11,7,7,7
1 - 4 years,64,40.5,40.8,47.8
5 -9 years,38,24.1,24.2,72
10-14 years,18,11.4,11.5,83.4
15-19 years,10,6.3,6.4,89.8
20-24 years,3,1.9,1.9,91.7
"25 years or more, including Life Sentence",13,8.2,8.3,100
Total,157,99.4,100,
