Who is caring for the children under 18,N,Percent,Percent of Cases
Who is caring for your children under 18? Select all that apply. - Selected Choice Child's other parent or step parent,122,23.20%,36.40%
Who is caring for your children under 18? Select all that apply. - Selected Choice Child's grandparent,133,25.30%,39.70%
Who is caring for your children under 18? Select all that apply. - Selected Choice Other relatives,74,14.10%,22.10%
Who is caring for your children under 18? Select all that apply. - Selected Choice My current partner,6,1.10%,1.80%
Who is caring for your children under 18? Select all that apply. - Selected Choice Friends,6,1.10%,1.80%
Who is caring for your children under 18? Select all that apply. - Selected Choice Foster parent/foster home,66,12.50%,19.70%
Who is caring for your children under 18? Select all that apply. - Selected Choice Other (specify),36,6.80%,10.70%
Are any of your children under age 18 currently engaged with the Department of Children and Family Services (DCFS)?,83,15.80%,24.80%
