,Partner Inflicted Head Injury,"Pushed/ shoved head into a wall, car, furniture or other object","Hit in the head with an object, hand or fist",Broken Teeth or Jaw,"Caused ear or eye injuries, including black eye","Choked, strangled or suffocated (including during a sexual assault)",Shook violently,"Caused any other injurty to head, neck or face",Vehicle or Car Accidents,Violent Assault (or sexual assault) from stranger,Falling down stairs or from a high place,"Medical Emergency, including Epilepsy, Stroke and Overdose",Hit by a Falling Object,Leisure activity or sports,Military Service,Other Non-Partner Injury
"Happened, no p-TBI",269,318,342,129,319,350,329,319,199,155,193,8,160,148,17,7
"Happened, p-TBI",501,300,311,120,241,245,182,273,308,212,143,266,103,109,19,25
